age,income,loan_amount,loan_term,credit_history,num_dependents,default
43,74675,3791,12,1,3,0
51,28285,25263,48,0,1,0
26,69295,11229,48,0,0,0
56,59592,3015,36,0,3,0
71,69003,10370,12,0,3,0
36,34039,14643,48,1,1,0
27,16391,27066,60,0,0,0
68,61118,9222,60,1,0,0
37,63759,6015,48,0,3,0
40,33199,26792,48,1,2,0
62,51381,22842,48,0,2,0
63,66768,10943,24,1,0,0
55,45467,18201,48,0,3,1
27,25373,21253,24,0,3,0
34,33772,25435,12,1,3,0
58,43407,1756,60,0,0,0
61,110714,1832,12,1,0,0
63,65080,8781,36,0,0,0
21,44782,22468,24,0,3,0
68,55279,19491,60,1,1,0
55,63838,21964,36,1,2,0
75,64483,500,60,0,0,0
40,66812,14477,48,1,3,0
30,89187,14938,12,0,3,0
54,41187,26890,12,1,2,1
73,37027,2841,12,1,2,0
32,35420,10353,24,1,1,0
75,46051,13371,48,0,2,0
23,64998,11173,48,0,1,0
52,63621,9650,60,1,1,0
70,99144,7809,36,1,0,0
22,83034,31128,48,1,0,0
18,49068,19092,36,1,3,0
41,61343,18674,12,1,1,0
58,69616,500,36,1,0,0
20,42195,23780,12,0,1,0
41,34202,3422,60,1,1,0
59,68842,20405,48,1,0,0
31,4024,21832,36,0,2,0
59,37283,21254,24,0,3,1
31,33032,6614,12,0,2,0
26,53121,9723,60,0,1,0
32,44645,18980,60,0,2,0
27,74855,14219,24,0,0,0
40,53665,9287,36,0,1,0
26,48728,5236,12,1,3,0
50,31754,10129,24,0,2,0
19,71190,18406,48,1,0,0
46,57349,16462,60,0,0,0
57,33096,7514,36,1,2,0
56,17857,21030,12,0,3,0
32,17873,22729,48,1,0,0
38,40152,8329,24,1,0,0
23,57510,16993,36,0,0,0
53,22426,10497,48,1,3,0
64,65618,17092,36,1,0,0
31,62929,22582,12,1,2,0
35,17572,8483,60,0,2,1
35,44964,8423,36,1,0,0
27,31490,11722,24,0,0,0
31,34333,21173,24,1,2,0
67,75130,11122,12,0,1,0
21,42671,9337,48,1,3,0
31,50305,11069,48,0,2,0
55,20439,15995,12,0,3,0
21,66920,15327,24,0,2,0
25,83120,15643,24,0,3,0
32,12138,14975,36,0,3,0
20,29564,18463,12,1,3,0
63,39470,9899,48,0,2,0
57,20363,18036,36,0,3,0
33,31399,18182,12,1,2,0
32,43949,19207,60,0,1,0
40,20093,31228,24,0,0,0
30,55326,19086,12,0,3,0
54,51354,6283,60,1,2,0
22,22281,17193,36,0,2,0
37,44621,15527,36,1,0,0
72,72648,20773,48,1,0,0
69,38370,12751,60,1,1,0
46,84094,25374,36,0,1,0
63,30106,18280,60,0,2,0
36,23764,23972,60,0,2,1
24,31524,12182,36,0,2,0
60,61700,20761,48,0,0,0
42,38927,9400,24,0,3,0
19,41804,18833,24,1,3,0
26,59419,20539,12,0,2,0
57,63219,20705,24,0,1,0
20,24548,21384,24,1,2,0
68,26545,18118,36,1,1,0
54,72152,14130,36,1,3,0
70,58469,25359,36,0,3,0
53,78881,9939,60,0,2,0
28,43802,32191,24,1,0,0
32,66914,500,12,1,0,0
41,55760,40715,36,0,0,0
24,65400,5180,24,0,0,0
71,12843,17598,48,1,0,0
19,48587,30175,60,1,0,0
33,48023,17374,48,1,0,0
75,25213,15010,60,0,1,0
18,38858,11080,48,0,0,0
41,72263,19033,60,0,3,0
20,12931,500,36,0,2,0
40,51630,26686,12,1,1,0
52,34844,24747,48,1,1,0
22,39845,500,12,1,1,0
30,63122,10418,36,1,3,0
66,40091,9762,12,1,2,0
41,31349,18120,48,1,2,0
49,43186,7846,60,1,0,0
23,1000,26018,24,1,2,1
38,40914,9199,60,1,1,0
40,19542,19202,36,1,2,0
68,57480,13984,48,1,1,0
27,67495,5196,48,0,1,0
67,38390,9000,60,0,1,0
41,26454,24778,60,0,2,0
59,40883,35009,12,0,3,0
53,75510,24315,48,0,2,0
49,53326,19111,12,1,1,0
46,86474,14749,36,1,0,0
36,80296,5144,24,1,1,0
30,53840,9323,48,0,2,0
41,1000,19644,24,0,0,0
63,45252,5415,48,0,1,0
59,70009,19025,60,1,1,0
67,24744,11625,24,1,0,0
51,56866,18935,36,0,2,0
51,80553,5510,36,0,2,0
37,43334,12666,24,0,1,0
64,64819,10806,60,0,0,0
59,52065,8781,24,1,0,0
58,22504,11761,36,1,1,0
61,31730,19893,12,0,3,0
47,57783,25475,36,1,2,0
26,51611,5397,12,1,1,0
35,39526,16372,12,1,3,0
44,50435,31018,24,1,2,0
28,25950,15104,48,1,3,1
43,1000,14286,24,1,0,1
49,18523,6148,48,1,0,0
45,60445,19675,36,1,2,0
21,38102,12750,60,1,0,0
46,51464,8545,60,0,1,0
43,8872,31827,60,1,1,0
50,45332,16331,12,0,2,0
51,23684,17916,60,0,2,0
38,81931,35843,36,1,3,0
37,46381,15230,36,0,3,0
68,82628,5362,12,1,2,0
68,75884,13163,24,0,3,0
58,43783,1416,48,0,1,0
62,53015,15996,36,1,1,0
31,20790,22375,48,0,1,0
53,36614,25500,60,1,2,0
47,65588,11158,36,1,3,0
33,46947,21624,36,1,1,0
49,42425,21762,36,1,0,0
52,9251,30365,36,0,2,1
63,89922,23652,36,1,1,0
52,46597,25189,36,0,0,0
55,50434,17576,60,0,1,0
44,39067,22919,24,0,1,0
74,66452,8694,24,1,2,0
21,57250,13106,60,0,0,0
29,16830,22525,12,1,3,0
65,94358,10696,12,0,2,0
24,66272,11859,48,1,1,0
47,44797,29403,36,0,3,0
63,62748,27031,36,0,1,0
58,79894,5968,60,1,0,0
24,54386,19039,36,0,0,0
33,35111,17071,36,1,0,0
41,47479,12318,12,1,2,0
61,7532,14730,36,0,2,0
32,52064,19203,24,1,2,0
53,78731,7986,24,0,0,0
51,47689,11908,60,0,0,0
75,23934,14640,24,0,2,0
46,60103,18619,60,1,0,0
46,57924,6797,60,1,3,0
53,14736,18397,12,1,2,0
65,51560,18052,48,1,0,0
21,56933,13791,48,0,2,0
67,68887,23616,48,1,3,0
42,28484,23536,60,0,2,1
52,41830,17599,24,0,0,0
47,38403,6104,60,1,1,0
40,57257,19278,12,0,3,0
74,61377,11188,12,0,0,0
61,48172,12580,12,1,3,0
31,50953,1165,24,1,1,0
64,26692,10167,36,0,2,0
60,29521,13899,36,0,1,0
45,44179,14147,36,1,2,0
44,61503,21268,60,1,1,0
37,56984,11514,48,0,3,0
53,30517,13513,36,0,2,0
46,55049,12112,24,0,2,0
56,17534,5195,24,0,3,0
39,35637,31546,24,0,0,0
66,35221,15787,60,0,3,0
53,42903,20876,48,1,2,0
50,66599,8982,48,1,1,0
44,88320,19528,24,0,2,0
55,31723,11032,24,0,2,0
54,61765,6851,36,1,3,0
59,48547,6126,36,0,1,0
49,66897,30365,12,0,0,0
60,52159,15271,24,0,0,0
18,54309,23657,12,1,3,1
52,47072,14606,60,1,2,1
70,43170,6961,24,0,0,0
33,58725,24137,36,1,3,0
43,35561,16521,24,1,0,0
72,47014,13358,48,1,3,0
21,29652,5561,12,1,3,0
39,13821,8644,12,0,1,0
73,40823,5325,36,0,0,0
35,70768,8909,12,0,2,0
31,21461,8050,48,0,2,0
33,14448,8665,60,1,3,0
26,57697,3161,12,1,0,0
32,59651,8803,60,1,2,0
35,54579,6438,24,1,3,0
61,33220,10980,60,1,1,0
23,47796,22772,24,1,2,0
23,67161,15224,36,1,0,0
29,26841,19289,60,1,0,1
40,24588,11396,36,1,0,0
42,55855,2363,60,0,1,0
28,60886,20186,48,0,0,0
35,29755,19378,12,1,2,0
64,31020,7405,24,1,0,0
18,67051,12727,60,1,2,0
45,65845,500,60,0,2,0
62,55279,21619,48,1,2,0
58,23846,15591,24,1,3,0
68,42307,17451,60,0,1,0
53,81777,17170,24,1,2,0
22,64965,2060,48,1,1,0
33,49805,19628,48,1,0,0
56,29930,16053,60,1,0,0
41,39053,1037,60,0,0,0
60,43838,10851,60,0,3,0
39,70730,13185,12,0,2,0
65,23821,13757,60,0,3,0
47,53729,4442,60,0,2,0
48,66425,20066,12,0,1,0
39,36916,16508,48,1,3,0
64,44245,8377,36,0,0,1
39,32014,5358,24,0,1,0
39,3077,7589,24,1,1,0
60,45567,15805,60,0,3,0
42,63903,15155,36,0,0,0
52,56854,21555,48,0,2,0
49,21877,13021,60,1,3,0
40,36769,22096,24,1,0,0
38,62602,19607,24,1,1,0
44,28498,9041,48,0,3,0
62,90376,6009,24,0,3,0
29,41354,23049,12,1,0,0
30,70530,500,60,1,3,0
44,44630,6604,24,0,0,0
32,45808,21190,60,1,1,0
54,48398,1381,60,0,0,0
52,58496,8147,12,1,1,0
24,47439,3394,24,1,0,0
40,55529,12400,12,0,1,0
55,35171,500,60,1,1,0
68,53666,20246,12,1,2,0
28,36066,26170,36,1,0,0
66,59965,500,36,0,1,0
63,43398,20425,48,1,1,0
35,36529,9417,12,0,3,0
35,36050,500,48,1,2,0
73,54908,2153,48,1,0,0
43,54254,23305,24,1,2,0
36,36238,23950,60,1,2,0
66,58739,16097,48,0,0,0
28,49314,15106,48,0,1,0
37,75149,30629,36,0,2,0
41,35192,5055,12,1,2,0
66,52904,26621,12,0,1,0
26,29862,9622,48,0,0,0
70,78826,25909,24,1,0,0
23,48878,11308,36,1,2,0
67,65798,500,24,0,0,0
28,20220,19707,24,1,3,0
23,58746,12341,12,1,2,0
38,53852,9162,12,0,2,0
62,88209,17600,36,0,1,0
36,28749,3873,24,1,3,0
49,45035,12657,12,1,2,0
73,61086,7911,60,0,3,0
67,73861,19712,12,1,1,0
21,69110,12446,36,1,3,0
23,34229,7322,24,1,0,0
50,97580,4680,24,1,3,0
66,65313,4571,12,1,3,0
72,51068,20975,48,0,3,0
21,38022,27260,24,0,0,0
62,73366,15667,36,1,1,0
65,53074,8790,12,0,2,0
35,34552,14066,60,0,3,0
41,87234,20408,24,1,1,0
24,73580,7614,12,0,0,0
73,56118,15189,36,1,1,0
72,85170,18178,48,0,2,0
64,34088,28539,60,1,0,0
75,63442,16847,60,0,3,0
47,72961,4717,36,1,0,0
18,38714,19873,36,0,3,0
49,84586,14807,60,0,1,1
44,74696,16495,12,1,0,0
42,68785,4520,12,0,1,0
21,60920,14239,36,0,0,0
75,61658,8184,36,1,0,0
50,74750,26020,12,0,3,0
26,51291,21200,36,1,2,0
35,54929,34079,24,0,1,0
46,30032,16729,60,1,1,0
47,49048,19025,24,1,0,0
72,45892,18089,24,1,3,0
61,38809,29125,24,0,3,0
53,49816,8934,48,0,1,0
21,77536,500,24,0,3,0
58,57743,13718,60,1,0,0
22,59293,25913,24,0,2,0
47,93140,20683,48,1,3,0
61,33255,18325,24,1,2,0
27,77134,17401,24,1,3,0
53,41504,15450,48,0,3,0
74,54424,9208,60,0,3,0
40,15404,16776,36,1,3,0
19,44102,20106,36,0,3,0
67,37421,12067,24,0,1,0
35,15388,12024,12,0,3,0
71,62337,14737,24,1,2,0
19,44631,7868,60,0,1,0
69,67135,8693,36,0,3,0
21,51531,20588,60,1,0,0
57,53175,19035,24,1,0,0
55,46895,10756,12,1,0,0
60,42685,17252,36,1,1,0
64,83608,10509,48,1,1,0
53,34033,500,36,0,1,0
64,46065,11132,12,1,0,0
38,96050,5029,24,0,3,0
65,66296,18467,36,0,0,0
60,23215,2197,48,0,2,0
62,64027,17545,12,0,0,0
64,39440,17333,48,1,3,0
42,68368,20439,60,0,1,0
69,59463,9486,36,1,0,0
28,59029,11932,12,0,2,0
57,74461,7234,48,0,3,0
24,23587,33908,48,1,2,0
24,74791,18196,48,0,0,0
45,81765,22800,60,1,1,0
31,57927,20840,12,1,0,0
43,8254,18082,36,0,3,0
74,40550,18485,12,1,3,0
32,63411,6193,24,0,0,0
69,1000,9526,60,0,0,0
70,1000,12062,48,0,3,0
43,75933,7736,60,0,0,0
46,76867,35415,24,0,1,0
23,71326,14370,24,1,2,0
69,68091,18240,48,1,2,0
73,80959,15963,60,1,0,0
27,25840,10702,12,0,0,0
73,32097,13369,48,1,3,0
54,45718,13601,36,1,1,0
61,48050,12889,36,0,0,0
35,53226,14025,36,1,2,0
72,46983,11568,24,0,2,0
46,52646,8042,48,0,1,0
70,30783,20071,60,1,0,0
28,78814,20040,48,0,0,0
74,68962,1784,24,0,3,0
41,45499,8856,48,1,0,0
33,31315,22715,24,1,2,0
71,76209,6814,12,1,0,0
28,71121,3939,24,0,1,0
35,36086,7177,12,1,1,0
56,54472,9594,60,1,2,0
42,63208,7878,24,1,2,0
70,31093,7568,12,1,2,0
24,32010,15829,36,1,2,0
63,77737,11562,24,0,1,0
69,72757,3610,48,1,1,0
59,33259,15110,48,1,3,0
55,43214,4936,24,1,1,0
58,59471,500,36,1,1,0
74,34423,12612,48,0,2,0
53,51031,9929,36,0,1,0
65,64437,8960,36,1,2,0
47,63396,7741,60,0,3,0
50,72053,23264,60,1,3,0
72,86451,35276,36,1,3,0
73,42562,1422,48,1,1,0
21,65981,15189,24,0,3,0
67,73495,20803,48,1,3,0
42,74697,15289,36,0,2,0
51,60963,26194,24,0,2,0
24,30164,22124,24,0,0,0
36,26681,17651,60,1,3,0
26,26312,29378,36,0,1,0
69,38169,18286,24,0,0,0
28,72542,23811,12,1,2,0
57,111730,22781,12,0,0,0
44,40349,16408,36,1,1,0
61,38434,10054,12,1,1,0
75,75182,22804,12,1,0,0
49,54233,20065,36,0,2,0
36,63457,23526,24,1,2,0
18,29398,500,60,1,1,0
67,18014,14057,12,1,1,0
36,49431,17554,24,0,2,0
61,37424,27099,12,0,0,0
60,39252,9296,48,1,0,0
39,58286,22386,48,1,3,0
48,58923,3990,24,0,1,0
21,88317,13217,12,1,3,0
61,24553,19166,36,0,1,0
49,65618,20365,12,0,2,0
18,41522,3444,60,0,2,0
62,47265,11591,24,1,2,0
59,21345,25120,60,0,0,0
28,27500,14685,48,0,0,0
38,53031,36165,12,0,3,0
33,69071,19121,60,1,0,0
46,27342,35566,12,0,3,0
53,14368,10458,60,1,1,0
47,68088,12666,12,0,3,0
67,33471,8810,36,1,0,0
60,53227,22196,36,1,0,0
28,12893,15707,48,0,2,0
30,78383,25762,24,1,1,0
24,50277,12533,60,0,3,0
55,60350,13830,48,0,0,0
45,62163,7205,60,0,1,0
26,73296,22093,60,1,3,0
56,79282,8162,36,1,2,0
46,53681,10893,60,1,2,0
53,40990,11035,60,1,2,0
26,78784,13643,24,1,0,0
53,24190,16279,48,1,3,0
51,65363,19858,12,0,1,0
68,58725,20572,36,0,0,0
36,57115,24571,36,1,0,0
61,47360,500,60,1,1,0
68,54974,8718,12,1,3,0
68,67119,13951,60,0,0,0
30,24678,5421,48,0,2,0
52,49040,9722,24,1,3,0
61,95738,24245,60,0,3,0
35,40102,13529,60,1,0,0
63,55275,14125,36,0,2,0
54,42602,14035,36,0,1,0
68,29269,14732,60,1,0,0
74,54099,21995,36,1,1,0
57,1000,9858,12,0,2,0
75,21939,1032,24,0,2,0
68,68581,12323,60,1,0,0
70,53086,5465,60,1,3,0
75,39806,9273,12,0,1,0
67,47642,14770,12,0,1,0
45,56955,10339,48,0,1,0
63,45795,17982,12,0,2,0
54,69134,500,48,1,3,0
45,41948,22265,12,0,0,0
55,87260,19382,36,0,2,0
37,37248,10962,48,1,3,0
19,25632,16607,24,1,2,0
27,37580,30949,36,0,1,0
18,32033,11467,60,0,2,0
65,65090,10816,48,0,1,0
57,56674,10469,24,0,3,0
22,48112,17890,12,0,3,0
40,70224,23423,12,1,0,0
38,32226,15633,36,0,2,0
45,58481,21048,24,1,2,0
26,42313,8510,48,1,3,0
37,40431,15314,60,0,2,0
26,60259,11660,12,0,0,0
58,75906,17057,48,0,0,0
52,69587,8842,24,1,3,0
67,16632,6576,24,1,0,0
50,64744,15393,60,0,1,0
29,26378,10815,24,1,2,0
66,42814,15223,36,0,0,0
51,65842,10850,48,1,0,0
59,35999,26151,60,1,2,0
54,63409,25341,36,0,2,0
32,31438,14233,36,1,3,0
18,39060,14949,24,0,0,0
35,53080,19996,36,0,1,0
39,45740,5990,48,1,1,0
59,52131,13523,12,0,1,0
50,75279,17541,12,0,2,0
51,76124,12193,60,0,2,0
31,1000,22882,48,0,1,0
56,66503,23262,24,1,1,0
39,73802,9947,12,0,3,0
24,74193,16010,60,1,1,0
29,22692,16668,12,0,0,0
26,70325,9246,12,1,3,0
20,43160,6985,48,1,2,0
65,81897,6660,60,0,3,0
48,54367,500,12,1,3,0
18,41037,1341,60,0,0,0
31,43357,8555,36,0,1,0
55,49102,30716,48,1,2,0
43,50645,6743,60,1,1,0
53,1000,17435,60,1,3,0
72,56604,11958,24,1,1,0
50,35254,19253,60,0,1,0
58,58736,15116,24,1,3,0
34,51441,18216,12,1,3,0
51,38309,35049,12,0,3,0
30,77299,500,60,1,1,0
56,19099,14179,60,0,0,0
59,61706,15008,36,1,2,0
43,29293,10025,12,0,2,0
53,65925,11233,36,0,1,0
43,36132,12177,48,0,0,0
39,84068,10287,36,1,3,0
54,35145,15613,36,1,3,0
73,59797,15680,12,1,1,0
32,56393,7156,36,0,2,0
23,23236,22888,36,0,1,0
40,55124,25243,24,0,3,0
33,46287,500,24,0,1,0
71,41438,11840,12,0,0,0
60,47696,15042,60,0,3,0
38,1000,16118,60,1,3,0
66,64013,11732,24,0,0,0
45,25279,16355,60,1,3,0
67,74930,34511,60,1,2,0
18,41032,8057,12,1,2,0
34,56008,20766,36,1,2,0
49,31489,18834,36,1,3,0
29,1000,5337,24,0,2,0
53,32164,18236,24,0,3,0
29,40531,17035,60,1,3,0
53,53940,13057,12,0,0,0
34,22108,16656,48,1,2,0
53,15901,9846,36,0,3,1
73,38320,5138,60,0,2,0
61,15542,14094,48,0,3,0
47,42429,11704,24,1,3,0
54,13976,24822,12,0,2,0
38,31977,4671,60,1,2,0
67,62367,9230,60,1,3,0
72,81923,16866,36,0,1,0
24,88781,25621,48,0,0,0
51,50784,11679,36,0,0,0
74,38885,18685,36,1,1,0
71,52559,16879,36,1,3,0
73,34565,13390,48,0,1,0
47,30676,6659,60,1,2,0
48,14969,11433,48,1,2,0
27,49910,15102,24,1,2,0
18,41129,6392,48,1,0,0
69,46135,20591,12,1,1,0
53,36002,17335,48,1,1,0
45,32982,8165,60,1,2,0
52,57454,7300,12,0,1,0
58,28897,17432,60,1,1,0
27,73555,18037,24,0,2,0
63,47622,15387,12,0,0,0
39,19211,21746,48,1,3,0
20,31388,28491,24,0,2,0
22,37801,13642,36,1,0,0
67,45661,7307,48,0,0,0
65,53192,5376,24,1,3,0
37,60822,13165,12,0,2,0
37,63238,30863,24,0,1,0
38,85413,16345,60,0,3,0
18,75878,12946,48,0,2,0
33,54798,17929,60,1,0,0
59,64077,23165,12,0,3,0
53,58067,1942,48,0,0,0
40,47566,9000,12,1,3,0
52,45761,10094,24,1,2,0
35,68209,7011,60,0,0,0
46,45574,20998,36,1,0,0
50,40712,18530,12,1,1,0
22,36439,6652,48,0,3,0
27,36616,10396,36,0,0,0
22,95365,20121,24,0,1,0
30,71170,21051,48,1,2,0
32,43968,13105,24,1,0,0
58,73721,18805,48,1,0,0
35,17977,12638,36,0,1,0
24,61662,18444,48,0,1,0
33,6069,6727,60,1,0,0
54,36094,21901,48,0,1,0
53,35213,19209,24,1,2,0
53,67695,14619,36,1,3,0
38,30004,8516,24,1,2,0
46,30965,17606,12,1,0,0
74,44590,21405,24,0,2,1
70,84848,9817,60,0,0,0
40,58730,20216,60,0,1,0
37,66931,19412,24,0,2,0
29,7287,16260,60,0,2,1
69,42825,13508,12,1,2,0
45,15172,23059,24,0,3,1
51,74092,17550,24,1,1,0
61,47692,7061,48,0,1,0
68,41612,17625,12,1,0,0
34,70316,19811,24,0,3,0
49,29398,21365,60,0,1,1
67,22498,20171,60,0,0,0
45,41385,18895,36,0,2,0
40,4701,500,48,0,3,1
70,53149,27100,24,0,0,0
33,93393,9232,36,0,2,0
25,42336,23494,36,0,1,0
51,50056,4907,60,0,0,0
75,46916,12958,24,0,2,0
62,45127,13215,12,0,3,0
60,67579,5583,12,0,2,0
59,7740,29617,60,0,2,0
56,37404,13987,60,1,0,0
51,42148,23735,24,0,2,0
40,39633,10841,60,1,0,0
74,1000,38221,12,1,1,1
75,41503,17710,48,0,3,0
27,34505,18086,60,1,3,0
31,34826,6367,24,0,2,0
75,39338,14357,24,0,2,1
52,59520,13725,36,0,0,0
74,100246,11543,36,1,2,0
30,60012,18178,60,1,1,0
32,42765,8028,48,0,3,0
41,57980,22248,48,0,1,0
20,5780,26446,36,1,1,0
30,50361,12044,48,1,2,0
74,50411,23148,12,1,2,0
65,27698,10669,12,0,3,0
74,113882,21975,60,1,0,0
51,54876,500,24,1,3,0
37,52432,8507,24,1,2,0
21,34060,500,48,1,0,0
25,61335,24599,60,0,3,0
46,71722,16371,24,1,0,0
62,31237,4862,24,0,0,0
46,44377,12478,48,0,3,0
20,55051,500,60,0,1,0
29,50779,12422,36,1,3,0
29,57854,17860,24,0,2,1
49,65402,7099,12,1,1,0
60,29688,16249,12,0,1,0
35,31355,8017,24,0,1,0
59,43466,18643,12,1,2,0
21,99367,31105,24,1,1,0
65,9275,6181,12,1,2,0
42,64404,2808,60,0,2,0
25,44537,8976,60,1,1,0
57,74312,18722,60,0,3,0
56,103594,5545,36,1,2,0
54,68682,14766,24,1,3,0
29,60838,11112,36,0,0,0
47,42935,12157,24,1,3,0
40,23536,10776,12,0,2,0
22,41557,23890,36,0,0,0
39,29394,21306,12,0,1,0
39,70172,10713,48,0,1,0
58,11178,18922,36,1,3,0
21,58597,9194,36,0,1,0
39,62816,500,36,0,1,0
19,39693,21573,60,0,3,0
25,72008,4963,36,0,2,0
49,63805,9617,36,0,2,0
41,57555,1457,12,1,0,0
75,37008,14998,48,1,2,0
73,96315,28151,60,0,1,0
47,19561,25387,12,0,2,0
61,73442,1768,36,1,0,0
67,40630,9176,60,1,1,0
30,44384,24603,48,0,2,0
35,87930,28284,60,0,1,0
53,45390,19017,36,0,1,0
57,69442,8748,12,0,0,0
61,68694,17453,12,1,3,0
56,71858,7884,48,1,2,0
30,43112,3395,60,0,3,0
23,67280,500,48,0,3,0
59,44463,6325,24,0,1,0
57,49038,22593,24,1,2,0
19,58975,16563,48,1,1,0
40,41727,12451,12,1,0,0
59,65306,17924,48,1,3,0
33,1000,8590,48,0,2,0
62,20537,7419,48,1,1,0
60,90803,23693,60,1,0,0
47,45864,18227,48,0,2,0
22,25194,7955,60,1,2,0
60,62979,17111,24,0,1,0
46,30497,13447,60,1,1,0
74,39437,24500,36,1,2,0
55,108570,16196,48,0,2,0
75,43700,14200,60,1,0,0
73,70855,16655,60,1,2,0
43,31532,21801,24,1,1,0
42,60461,8701,48,0,2,0
60,52153,15867,12,0,3,0
26,74713,20818,48,1,3,0
47,24697,14400,48,1,2,0
45,29199,8581,24,1,3,0
54,12895,31420,60,1,2,1
48,57935,14221,60,1,3,0
51,56629,12804,48,0,2,0
75,30743,26559,48,1,3,0
39,5274,24686,36,1,1,1
56,49883,2109,60,1,0,0
55,53169,17275,36,0,2,0
26,10967,14450,36,1,1,0
35,52121,13945,12,0,1,0
41,55532,9181,24,1,1,0
73,106308,19751,24,0,3,0
44,51881,9150,48,0,1,0
71,33869,24484,12,0,1,0
48,39495,27563,60,0,3,0
42,38941,15712,48,0,2,0
46,37151,19705,60,0,0,0
58,26585,27259,60,1,2,0
69,73768,21751,48,1,1,0
55,53111,5388,24,1,0,0
71,68738,18409,60,0,3,0
64,47279,20125,12,0,0,0
60,60992,11543,60,0,0,0
56,70024,23519,60,0,0,0
34,41875,26300,12,1,2,0
62,78158,7177,36,1,1,0
35,53330,7254,36,0,2,0
34,53318,17728,24,1,1,0
24,71166,25757,24,0,3,0
24,57460,15664,36,1,0,0
27,49522,14726,12,1,2,0
39,71593,9099,60,1,3,0
72,44906,509,12,0,0,0
62,59503,6647,60,1,2,0
43,114141,24272,12,1,2,0
47,51086,8393,24,0,0,0
60,61178,26505,12,1,3,0
58,38008,16969,12,0,0,0
